PMID	ProA	Action	ProB	LL-A	LL-B
15184390	CARMA3	binds	IKKg/NEMO	29775	8517
15184390	15184390-1	complex	BCL10		8915
15184390	15184390-1	complex	CARMA1		84433
15187257	Chfr	ubiquitinates	Plk1	55743	5347
15190214	Plk3	binds	BubR1	1263	701
15190214	Plk3	binds	AurA	1263	8465
15199161	HIF1	transactivates	hTERT	3091	7015
15213298	PKCdelta	phosphorylates	RasGRP3	5580	25780
15215307	CSF1R	binds	Cbl	1436	867
15215307	CSF1R	binds	Grb2	1436	2885
15215307	CSF1R	binds	NonO	1436	4841
15215307	CSF1R	binds	PSF (transcription & splicing factor)	1436	6421
15215307	CSF1R	binds	clathrin heavy chain	1436	
15215307	CSF1R	binds	HSC73	1436	
15215307	CSF1R	binds	Ship	1436	
15215307	CSF1R	binds	Shp1	1436	
15215307	CSF1R	binds	Sos	1436	
15249581	15249581-1	complex	Survivin		332
15249581	15249581-1	complex	INCENP		3619
15249581	15249581-1	complex	AurB		9212
15249581	15249581-1	complex	borealin		55143
15249581	AuroraB	phosphorylates	borealin	9212	55143
15249581	INCENP	binds	borealin	3619	55143
15249581	Survivin	binds	borealin	332	55143
15254234	Par3	binds	ECT2	56288	1894
15254234	Par6	binds	ECT2	50855	1894
15254234	PKCzeta	binds	ECT2	5590	1894
15262962	DNA-PK	phosphorylates	Akt1	5591	207
15263015	Cdc14A	dephosphorylates	INCENP	8556	3619
15263015	AuroraB	binds	Mklp2	9212	3833
15263015	Cdc14A	binds	Mklp2	8556	3833
15268862	15268862-1	complex	mTOR		2475
15268862	rictor	binds	mTOR	253260	2475
15268862	15268862-1	complex	rictor		253260
15268862	15268862-1	complex	GbetaL		
15269182	spastin	binds	NA14	6683	8636
15272308	Chk1	phosphorylates	Cdc25B	1111	994
15316025	AuroraC	binds	INCENP	6795	3619
15317757	15317757-1	complex	RECQL4		9401
15317757	15317757-1	complex	UBR2		23304
15317757	15317757-1	complex	UBR1		197131
15342622	MRK	phosphorylates	Chk2	51776	11200
15342634	Skp2	ubiquitinates	UBP43	6502	11274
15350530	AuroraB	phosphorylates	MLCK	9212	4638
15355308	AZI	binds	antizyme 1	51582	4946
15355308	AZI	binds	antizyme 2	51582	4947
15355308	AZI	binds	antizyme 3	51582	51686
15355308	AZI	binds	antizyme 4	51582	441883
15355997	tuberin 	binds	p27	7249	
15358203	Nek2A	binds	ERK2	4751	5594
15362974	SAKS1	binds	VCP	51035	
15364958	Chk1	phosphorylates	BLM	1111	641
15364958	BLM	binds	H2AX	641	3014
15364958	BLM	binds	53BP1	641	7158
15371340	hMis12	binds	Ndc80	79003	10403
15371340	hMis12	binds	Zwint	79003	11130
15371340	hMis12	binds	PMF1	79003	11243
15371340	hMis12	binds	DC31	79003	25936
15371340	hMis12	binds	AF15q14	79003	57082
15371340	hMis12	binds	Spc25	79003	57405
15371340	hMis12	binds	Q9H410	79003	79980
15371340	hMis12	binds	Nuf2	79003	83540
15371340	hMis12	binds	Spc24	79003	147841
15374998	ASK	binds	menin	10926	4221
15378003	cJun	binds	KLF6		
15388344	Nek2A	binds	numatrin	4751	4869
15448698	BetaTRCP	ubiquitinates	snail	8945	6615
15448698	GSK3beta	phosphorylates	snail		
15451666	Id1	binds	CSN5	3397	10987
15451666	Id3	binds	CSN5	3399	10987
15451666	Id3	binds	CSN7	3399	
15456891	ATM	phosphorylates	artemis	472	64421
15456891	ATR	phosphorylates	artemis	545	64421
15467455	RACK1	binds	p63		
15467455	stratifin	binds	p63		
15467733	TMF/ARA160	binds	Stat3		
15467733	TMF/ARA160	binds	Fer		
15469824	Ck2	phosphorylates	Bdp1	1457	55814
15469940	AuroraA 	phosphorylates	p53	8465	7157
15471851	PS-GAP	binds	RhoA	79658	387
15471851	PS-GAP	binds	Cdc42	79658	998
15471851	PS-GAP	binds	PYK2	79658	2185
15471851	PS-GAP	binds	PAK2	79658	5062
15485915	CtIP	binds	BRCA1	5932	672
15485925	Ubc8	binds	ISG15	7328	9636
15498494	Fbw7	ubiquitinates	cMyc	55294	4609
15502821	hMis12	binds	HEC1	79003	10403
15502821	hMis12	binds	Zwint-1	79003	11130
15502821	hMis12	binds	PMF1	79003	11243
15502821	hMis12	binds	HP1gamma	79003	11335
15502821	hMis12	binds	HP1alpha	79003	23468
15502821	hMis12	binds	DC8	79003	25936
15502821	hMis12	binds	KIAA1570	79003	57082
15502821	hMis12	binds	c20orf172	79003	79980
15502821	hMis12	binds	(#7)	79003	
15502821	hMis12	binds	(#8)	79003	
15502821	hMis12	binds	(#9)	79003	
15522227	Plk1	binds	Ran	5347	5901
15522227	Plk1	phosphorylates	RanBPM	5347	10048
15525529	APC (adeno…)	binds	CtBP	324	
15531760	atrogin1	ubiquitinates	MyoD	114907	4654
15531880	15531880-1	ubiquitinates	Kip1	15531880-1	1027
15531880	15531880-1	complex	KPC2		10422
15531880	15531880-1	complex	KPC1		63891
15531928	p53	transactivates	PRC1	7157	9055
15537391	Vanishin	binds	ERK2	231332	5594
15537391	Vanishin	binds	ERK1	231332	5595
15542852	53BP1	binds	APC		
15542852	SNM1	binds	APC		
15546880	RABP1	binds	RASSF1A	55201	11186
15546880	RASSF1A	binds	RABP1	11186	
15548678	CUL4A	binds	MDM2	8451	4193
15548678	CUL4A	binds	MDM2	8451	4193
15548678	CUL4A	binds	p53	8451	7157
15556297	PAPA-1	binds	PAP-1		
15556297	Pim1	phosphorylates	PAP-1	5292	
15558019	RanBPM	binds	p73	10048	7161
15558019	p73	binds	RanBPM	7161	10048
15567145	UREB1	ubiquitinates	p53	10075	7157
15579911	MAGI2	binds	beta catenin	9863	1499
15579911	MAGI2	binds	PTEN	9863	5728
15580267	14-3-3eta	binds	miz1	7533	7709
15580267	Akt1	phosphorylates	miz1	207	7709
15590664	15590664-1	complex	ASB2		
15590664	15590664-1	complex	Cul5		
15590664	15590664-1	complex	Rbx1		
15590664	15590664-1	complex	ElonginB		
15590664	15590664-1	complex	ElonginC		
15590664	15590664-1	binds	Ubc5		
15592429	RalA	binds	ZONAB	5898	8531
15596447	NPM3	binds	B23/NPM	10360	4869
15601779	MuRF1	ubiquitinates	cTnI		
15607950	Doublecortin	binds	DFFRX		
15610744	DSS1	binds	RPN1	7979	5708
15610744	DSS1	binds	RPN10	7979	5710
15611654	Trf1	binds	Nek2	7013	4751
15611654	Trf1	binds	Mad1	7013	8379
15616186	Plk1	binds	Cep170	5347	9859
15618286	Nek3	binds	Vav2	4752	7409
15618286	Nek3	binds	Vav1	4752	7410
15625105	Kif4	binds	PRC1		
15632055	PP2A B56	binds	p300		
15632063	HRPT2 	binds	Rbbp5	79577	5929
15632063	HRPT2 	binds	Ash2L	79577	9070
15632063	hPaf1-complex	complex	hCtr9		9646
15632063	hPaf1-complex	complex	hPaf1		54623
15632063	hPaf1-complex	complex	HRPT2 		79577
15632063	RNA pol II	binds	HPRT2		79577
15632063	hPaf1-complex	complex	hLeo1		123169
15632077	BRCTX	binds	Rad18	345499	56852
15637055	caspase3	cleaves	MCL1		
15640523	NFkB	transactivates	GalphaI		
15640523	Nrf2 (ARE)	transactivates	GalphaI		
15640526	Fbw2	ubiquitinates	GCMa	26190	8521
15640526	SKP1	binds	GCMa		8521
15640526	CUL1	binds	GCMa		8521
15647386	Chk1	binds	Msh2	1111	4436
15647386	Chk2	binds	Msh2	11200	4436
15654075	Plk1	binds	Mcm2	5347	4171
15654075	Plk1	binds	Mcm7	5347	4176
15659388	EBP50	binds	merlin	505242	4771
15659388	EBP50	binds	erbin	505242	55914
15660133	SSH	dephosphorylates	LIMK1		
15660133	PAK4	phosphorylates	SSH		
15660133	14-3-3zeta	binds	SSH		
15660529	SNEV	binds	proteasome beta7	27339	5695
15664193	WISp39	binds	p21 waf1/cip1	63943	1026
15664193	15664193-1	complex	p21 waf1/cip1		1026
15664193	15664193-1	complex	HSP90		3320
15664193	15664193-1	complex	WISp39		63943
15668399	Skp2	ubiquitinates	FOXO1	6502	2308
15670742	Pin1	binds	RARalpha		
15678101	Rab1	binds	Plk1	5861	5347
15678106	Itch	ubiquitinates	p73	83737	
15687255	NQO1	binds	p53	1728	7157
15687255	NQO1	binds	p73	1728	7161
15688019	Runx3	transactivates	Runx1	864	861
15699325	Tpl2	binds	NFkappaB1		
15703212	Itch	ubiquitinates	MART1	83737	2315
15703212	NEDD4	ubiquitinates	MART1	4734	2315
15706352	E2F1	transactivates	ASPP2	1869	7159
15706352	E2F1	transactivates	ASPP1	1869	23368
15706352	E2F1	transactivates	TP53INP1	1869	94241
15706352	E2F1	transactivates	JMY	1869	133746
15710384	Smurf1	ubiquitinates	RhoA		
15716063	PKA	binds	CAP	5566	10580
15719173	STRA13	binds	MSP58	8553	10445
15721254	OS9	binds	HIF1alpha	10956	3091
15731768	E2F1	transactivates	ASPP2	1869	7159
15731768	E2F2	transactivates	ASPP2	1870	7159
15731768	E2F3	transactivates	ASPP2	1870	7159
15731768	E2F1	transactivates	ASPP1	1869	23368
15731768	E2F2	transactivates	ASPP1	1870	23368
15731768	E2F3	transactivates	ASPP1	1870	23368
15735755	PML	binds	Myc	5371	4609
15743842	FAF1	binds	VCP	11124	7415
15749015	NQO1	binds	ODC		
15753085	KIAA1212	binds	Akt1	55704	207
15767683	BetaTRCP	ubiquitinates	PER2	8945	
15773819	RNF2	binds	Hip-2/hE2-25K	6045	3093
15773819	RNF2	binds	proteasome S6'	6045	5704
15775963	15775963-1	complex	BLM		641
15775963	15775963-1	complex	FANCA		80010
15775963	15775963-1	complex	Blap75 (C9orf76)		80010
15776016	VDU2	deubiquitinates	HIF1alpha	10868	3091
15781263	hPirh2	binds	mNTKL-BP1	25898	92344
15781263	NTKL	binds	mNTKL-BP1		
15791211	HSP90	binds	NWASP		
15793587	Chfr	ubiquitinates	AurA	55743	8465
15798198	TCTP	binds	Mcl1	7178	4170
15800069	CD2AP	binds	anillin		
15805242	Tid1	binds	VHL	9093	7428
15805468	MKRN1	ubiquitinates	hTERT	23608	7015
15808853	PKCzeta	phosphorylates	MSH6	5590	2956
15808853	PKCzeta	phosphorylates	MSH2	5590	4436
15831487	PAAF1	binds	SUG1	80227	5705
15840729	Calmodulin	binds	interactor	801	34
15840729	Calmodulin	binds	interactor	801	207
15840729	Calmodulin	binds	interactor	801	546
15840729	Calmodulin	binds	interactor	801	667
15840729	Calmodulin	binds	interactor	801	988
15840729	Calmodulin	binds	interactor	801	1159
15840729	Calmodulin	binds	interactor	801	1655
15840729	Calmodulin	binds	interactor	801	1657
15840729	Calmodulin	binds	interactor	801	1795
15840729	Calmodulin	binds	interactor	801	2287
15840729	Calmodulin	binds	interactor	801	2778
15840729	Calmodulin	binds	interactor	801	2969
15840729	Calmodulin	binds	interactor	801	3655
15840729	Calmodulin	binds	interactor	801	4008
15840729	Calmodulin	binds	interactor	801	4077
15840729	Calmodulin	binds	interactor	801	4603
15840729	Calmodulin	binds	interactor	801	4604
15840729	Calmodulin	binds	interactor	801	4703
15840729	Calmodulin	binds	interactor	801	4904
15840729	Calmodulin	binds	interactor	801	5052
15840729	Calmodulin	binds	interactor	801	5066
15840729	Calmodulin	binds	interactor	801	5431
15840729	Calmodulin	binds	interactor	801	5708
15840729	Calmodulin	binds	interactor	801	5718
15840729	Calmodulin	binds	interactor	801	5887
15840729	Calmodulin	binds	interactor	801	5903
15840729	Calmodulin	binds	interactor	801	5962
15840729	Calmodulin	binds	interactor	801	6146
15840729	Calmodulin	binds	interactor	801	6192
15840729	Calmodulin	binds	interactor	801	6202
15840729	Calmodulin	binds	interactor	801	6208
15840729	Calmodulin	binds	interactor	801	6210
15840729	Calmodulin	binds	interactor	801	6249
15840729	Calmodulin	binds	interactor	801	6285
15840729	Calmodulin	binds	interactor	801	6418
15840729	Calmodulin	binds	interactor	801	6430
15840729	Calmodulin	binds	interactor	801	6629
15840729	Calmodulin	binds	interactor	801	6727
15840729	Calmodulin	binds	interactor	801	7178
15840729	Calmodulin	binds	interactor	801	7518
15840729	Calmodulin	binds	interactor	801	8242
15840729	Calmodulin	binds	interactor	801	8663
15840729	Calmodulin	binds	interactor	801	8878
15840729	Calmodulin	binds	interactor	801	8924
15840729	Calmodulin	binds	interactor	801	9188
15840729	Calmodulin	binds	interactor	801	9472
15840729	Calmodulin	binds	interactor	801	9482
15840729	Calmodulin	binds	interactor	801	9685
15840729	Calmodulin	binds	interactor	801	9782
15840729	Calmodulin	binds	interactor	801	9841
15840729	Calmodulin	binds	interactor	801	9882
15840729	Calmodulin	binds	interactor	801	9933
15840729	Calmodulin	binds	interactor	801	9994
15840729	Calmodulin	binds	interactor	801	10075
15840729	Calmodulin	binds	interactor	801	10081
15840729	Calmodulin	binds	interactor	801	10133
15840729	Calmodulin	binds	interactor	801	10274
15840729	Calmodulin	binds	interactor	801	10345
15840729	Calmodulin	binds	interactor	801	10600
15840729	Calmodulin	binds	interactor	801	10933
15840729	Calmodulin	binds	interactor	801	10988
15840729	Calmodulin	binds	interactor	801	10989
15840729	Calmodulin	binds	interactor	801	22978
15840729	Calmodulin	binds	interactor	801	23077
15840729	Calmodulin	binds	interactor	801	23095
15840729	Calmodulin	binds	interactor	801	23096
15840729	Calmodulin	binds	interactor	801	23224
15840729	Calmodulin	binds	interactor	801	23317
15840729	Calmodulin	binds	interactor	801	23451
15840729	Calmodulin	binds	interactor	801	23521
15840729	Calmodulin	binds	interactor	801	23576
15840729	Calmodulin	binds	interactor	801	23643
15840729	Calmodulin	binds	interactor	801	23759
15840729	Calmodulin	binds	interactor	801	26268
15840729	Calmodulin	binds	interactor	801	49855
15840729	Calmodulin	binds	interactor	801	51377
15840729	Calmodulin	binds	interactor	801	51406
15840729	Calmodulin	binds	interactor	801	51562
15840729	Calmodulin	binds	interactor	801	54014
15840729	Calmodulin	binds	interactor	801	54165
15840729	Calmodulin	binds	interactor	801	55156
15840729	Calmodulin	binds	interactor	801	55664
15840729	Calmodulin	binds	interactor	801	55692
15840729	Calmodulin	binds	interactor	801	55719
15840729	Calmodulin	binds	interactor	801	57545
15840729	Calmodulin	binds	interactor	801	57620
15840729	Calmodulin	binds	interactor	801	58533
15840729	Calmodulin	binds	interactor	801	64770
15840729	Calmodulin	binds	interactor	801	65979
15840729	Calmodulin	binds	interactor	801	79811
15840729	Calmodulin	binds	interactor	801	90957
15840729	Calmodulin	binds	interactor	801	91624
15840729	Calmodulin	binds	interactor	801	93377
15840729	Calmodulin	binds	interactor	801	114294
15840729	Calmodulin	binds	interactor	801	120105
15840729	Calmodulin	binds	interactor	801	132320
15840729	Calmodulin	binds	interactor	801	139818
15840729	Calmodulin	binds	interactor	801	171024
15855639	BetaTRCP	ubiquitinates	SMAD4	8945	4089
15862129	EB1	binds	coilin		
15870274	Ajuba	binds	TRAF6		
15870274	Ajuba	binds	p62		
15876876	Plk1	binds	Chk2	5347	11200
15888452	Cdc2	binds	Raf-1	983	5894
15888452	Cdc2	binds	Sos-1	983	
15888452	Cdc2	binds	Grb2	983	
15899841	Eralpha	binds	CSN5	2099	10987
15910542	TCP10L	binds	DAPK3		
15911347	PrP	binds	NRAGE	5621	9500
15917294	15917294-1	complex	B-Raf		673
15917294	15917294-1	complex	Ras		
15917294	15917294-1	complex	DYRK1A		
15917294	15917294-1	complex	MEK1		
15923616	AuroraB	binds	Cdc20	9212	991
15923616	AuroraB	binds	Cdh1	9212	51343
15934090	pyrin	binds	14-3-3tau	4210	
15934090	pyrin	binds	14-3-3epsilon	4210	
15944415	Homer2	binds	2B28	9455	51035
15949444	Skp2	ubiquitinates	RAG2	6502	5897
15951441	NIBP	binds	IKKbeta	83696	3551
15951441	NIBP	binds	NIK	83696	9448
